epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,278.853,1.15627,0.62181,0.96782,0.96673,0.6736,0.75717,0.47099,1.05643,0.72328,1.00448,0.000990365,0.000990365,0.000990365
43,286.05,1.10547,0.62014,0.95757,0.95202,0.65056,0.75522,0.44524,1.10488,0.66779,1.02694,0.000973861,0.000973861,0.000973861
44,292.035,1.09493,0.60288,0.95699,0.91476,0.67326,0.74465,0.44189,1.14719,0.70637,1.0644,0.000957358,0.000957358,0.000957358
45,298.253,1.06868,0.58751,0.97606,0.96187,0.65428,0.74258,0.44673,1.09079,0.6274,1.01577,0.000940855,0.000940855,0.000940855
46,304.952,1.04978,0.57058,0.92445,0.85934,0.70665,0.75484,0.45577,1.14511,0.57653,1.03868,0.000924352,0.000924352,0.000924352
47,310.759,1.08015,0.59192,0.9566,0.95914,0.70495,0.77471,0.48493,1.09696,0.59906,1.01669,0.000907848,0.000907848,0.000907848
48,317.426,0.99234,0.55559,0.94146,0.91132,0.73155,0.78915,0.49581,1.06199,0.54729,0.99833,0.000891345,0.000891345,0.000891345
49,324.277,1.0166,0.56132,0.92708,0.98587,0.74373,0.79748,0.49431,1.11649,0.54091,1.00845,0.000874842,0.000874842,0.000874842
50,330.188,1.03765,0.56037,0.93366,0.95005,0.75659,0.79676,0.50051,1.08339,0.59394,1.0172,0.000858338,0.000858338,0.000858338
51,337.164,1.04893,0.57216,0.92961,0.88644,0.73973,0.78169,0.48473,1.11374,0.58889,1.02966,0.000841835,0.000841835,0.000841835
52,343.055,1.00052,0.5597,0.94577,0.96132,0.70104,0.76876,0.47128,1.04396,0.54192,1.01007,0.000825332,0.000825332,0.000825332
53,349.283,1.00037,0.53879,0.92372,0.97729,0.69892,0.76418,0.48383,1.08096,0.54033,1.0188,0.000808828,0.000808828,0.000808828
54,355.872,0.98105,0.53891,0.94356,0.97985,0.70538,0.76283,0.48679,1.15283,0.5643,1.03945,0.000792325,0.000792325,0.000792325
55,361.758,1.05492,0.5626,0.94467,0.96901,0.70376,0.76439,0.48934,1.15769,0.56716,1.05763,0.000775822,0.000775822,0.000775822
56,368.432,1.02253,0.57618,0.93344,0.94114,0.73155,0.7657,0.48928,1.05323,0.55392,1.03122,0.000759318,0.000759318,0.000759318
